collision_year_x,vehicle_type,towing_and_articulation,vehicle_manoeuvre_historic,vehicle_manoeuvre,vehicle_direction_from,vehicle_direction_to,vehicle_location_restricted_lane,junction_location,skidding_and_overturning,hit_object_in_carriageway,vehicle_leaving_carriageway,hit_object_off_carriageway,first_point_of_impact,vehicle_left_hand_drive,journey_purpose_of_driver_historic,journey_purpose_of_driver,sex_of_driver,age_of_driver,age_band_of_driver,engine_capacity_cc,propulsion_code,age_of_vehicle,driver_imd_decile,escooter_flag,driver_distance_banding,collision_year_y,police_force,number_of_vehicles,number_of_casualties,day_of_week,local_authority_district,first_road_class,first_road_number,road_type,speed_limit,junction_detail_historic,junction_detail,junction_control,second_road_class,second_road_number,pedestrian_crossing_human_control_historic,pedestrian_crossing_physical_facilities_historic,pedestrian_crossing,light_conditions,weather_conditions,road_surface_conditions,special_conditions_at_site,carriageway_hazards_historic,carriageway_hazards,urban_or_rural_area,did_police_officer_attend_scene_of_accident,trunk_road_flag,collision_injury_based,high_risk,hour,month
2024,9,0,-1,3,8,4,0,1,0,0,0,0,9,9,-1,6,1,25,5,1685,2,6,3,0,1,2024,20,2,2,1,-1,4,4169,6,30,-1,13,4,6,0,-1,-1,0,7,1,1,-1,-1,0,1,2,2,1,0,21,3
2024,9,0,-1,4,3,7,0,0,0,0,0,0,2,1,-1,9,2,21,5,1598,1,0,3,0,1,2024,50,2,1,5,-1,4,3416,3,30,-1,0,-1,6,0,-1,-1,0,4,2,2,-1,-1,0,1,1,2,1,0,17,12
2024,9,0,18,19,7,3,0,4,0,0,0,0,2,1,6,6,1,18,4,1975,1,18,2,0,3,2024,61,3,2,5,-1,3,469,1,70,1,0,4,3,468,0,0,0,1,1,1,0,0,0,1,1,-1,0,0,18,7
2024,9,0,18,19,3,6,0,0,5,0,5,6,1,1,6,6,2,25,5,1598,8,0,2,0,5,2024,52,1,2,4,-1,1,5,3,70,0,0,-1,0,-1,0,0,0,1,1,1,0,0,0,2,1,1,0,0,8,6
2024,9,0,-1,7,3,6,0,0,0,0,2,0,1,1,-1,6,1,18,4,1685,2,7,-1,0,-1,2024,20,1,1,3,-1,1,5,2,50,-1,0,-1,3,41,-1,-1,0,4,1,1,-1,-1,0,1,3,1,1,1,22,2
2024,17,0,-1,19,1,5,0,0,0,0,0,0,3,1,-1,1,1,17,4,6596,2,0,6,0,2,2024,34,2,1,4,-1,5,0,6,60,-1,0,-1,-1,-1,-1,-1,0,1,2,2,-1,-1,0,2,1,2,1,0,8,7
2024,17,4,-1,19,3,8,0,0,0,0,0,0,0,9,-1,1,1,23,5,6596,2,2,3,0,4,2024,11,2,1,5,-1,4,6277,6,30,-1,0,-1,6,0,-1,-1,0,1,9,1,-1,-1,0,2,2,2,1,1,10,4
2024,9,0,-1,19,7,3,0,0,1,0,0,0,4,1,-1,2,1,21,5,3960,1,21,7,0,1,2024,99,1,1,3,-1,6,0,6,60,-1,0,-1,6,0,-1,-1,0,1,8,4,-1,-1,0,2,1,-1,1,0,8,12
2024,5,0,18,19,3,7,0,0,1,0,0,0,0,1,6,6,1,20,4,649,1,17,-1,0,-1,2024,60,1,1,7,-1,3,5152,6,40,0,0,-1,0,-1,0,0,0,1,1,1,0,0,0,2,1,-1,0,0,19,5
2024,4,0,18,19,3,7,0,8,0,0,0,0,3,1,6,6,1,24,5,649,1,6,9,0,4,2024,12,2,1,3,-1,3,1079,6,60,3,13,4,6,0,0,0,0,1,1,1,0,0,0,2,1,2,0,1,7,6
2024,4,0,-1,19,1,5,0,0,1,10,1,1,1,1,-1,6,1,19,4,296,1,9,2,0,1,2024,11,2,2,3,-1,6,0,6,20,-1,0,-1,6,0,-1,-1,0,1,1,1,-1,-1,0,1,1,2,1,1,10,4
2024,5,0,-1,19,3,6,0,0,0,0,7,10,1,1,-1,9,1,23,5,649,1,14,4,0,5,2024,63,1,1,1,-1,3,44,6,60,-1,0,-1,-1,-1,-1,-1,0,1,1,1,-1,-1,0,2,1,-1,1,1,11,8
2024,5,0,-1,19,5,1,0,8,5,0,0,0,1,1,-1,6,1,24,5,649,1,7,9,0,1,2024,40,2,1,4,-1,4,530,6,60,-1,13,4,6,0,-1,-1,0,1,1,1,-1,-1,0,2,1,2,1,1,7,1
2024,2,0,-1,19,1,5,0,0,0,0,0,0,1,1,-1,6,1,22,5,498,1,19,7,0,1,2024,40,3,2,6,-1,3,1,3,50,-1,0,-1,-1,-1,-1,-1,0,7,1,1,-1,-1,0,1,1,1,1,1,16,11
2024,5,0,-1,15,7,3,0,1,0,0,0,0,1,1,-1,6,1,19,4,649,1,16,4,0,2,2024,50,2,2,2,-1,6,0,6,30,-1,13,4,3,374,-1,-1,0,1,2,2,-1,-1,0,1,1,2,1,1,16,11
2024,5,0,18,19,6,2,0,8,0,0,0,0,3,1,6,6,1,22,5,649,1,10,5,0,1,2024,52,3,1,3,-1,3,4032,3,40,5,0,4,3,4032,0,0,0,4,1,2,0,0,0,1,1,2,0,1,17,11
2024,9,0,-1,13,2,6,0,0,5,0,1,0,1,1,-1,6,1,19,4,-1,3,0,8,0,2,2024,99,3,2,6,-1,6,0,6,40,-1,0,-1,6,0,-1,-1,0,1,1,1,-1,-1,0,1,1,-1,1,1,18,9
2024,9,0,-1,19,1,5,0,0,0,0,1,6,1,1,-1,6,1,18,4,1995,2,10,10,0,4,2024,40,3,1,1,-1,3,1,3,60,-1,0,-1,6,0,-1,-1,0,4,1,2,-1,-1,0,1,1,1,1,0,22,10
2024,9,0,-1,5,5,1,0,1,0,0,0,0,1,1,-1,6,1,25,5,1998,1,3,7,0,1,2024,6,2,1,1,-1,3,673,6,30,-1,13,4,6,0,-1,-1,0,1,1,1,-1,-1,0,1,1,2,1,0,17,6
2024,9,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,9,-1,6,1,20,4,1598,1,10,6,0,2,2024,40,2,3,6,-1,3,1081,3,40,-1,19,-1,3,1081,-1,-1,0,1,1,1,-1,-1,0,2,3,1,1,0,12,9
